forecast_case_id,event_case_id,storm_id,reference_event,reference_time,reference_latitude,reference_longitude,nominal_lead_hours,target_init_time,actual_lead_hours,cycle_offset_hours,init_time,forecast_hours,forecast_end_time
2022024S09090-CE01-L024,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,24,2022-01-31T15:00:00Z,27.0,-3.0,2022-01-31T12:00:00Z,30,2022-02-01T18:00:00Z
2022024S09090-CE01-L048,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,48,2022-01-30T15:00:00Z,51.0,-3.0,2022-01-30T12:00:00Z,54,2022-02-01T18:00:00Z
2022024S09090-CE01-L072,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,72,2022-01-29T15:00:00Z,75.0,-3.0,2022-01-29T12:00:00Z,78,2022-02-01T18:00:00Z
2022024S09090-CE01-L096,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,96,2022-01-28T15:00:00Z,99.0,-3.0,2022-01-28T12:00:00Z,102,2022-02-01T18:00:00Z
2022024S09090-CE01-L120,2022024S09090-CE01,2022024S09090,coastal_approach,2022-02-01T15:00:00Z,-17.3,59.6,120,2022-01-27T15:00:00Z,123.0,-3.0,2022-01-27T12:00:00Z,126,2022-02-01T18:00:00Z
2022024S09090-CE02-L024,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,24,2022-02-04T17:01:48.141186Z,23.030039218333332,0.9699607816666667,2022-02-04T18:00:00Z,24,2022-02-05T18:00:00Z
2022024S09090-CE02-L048,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,48,2022-02-03T17:01:48.141186Z,47.03003921833333,0.9699607816666667,2022-02-03T18:00:00Z,48,2022-02-05T18:00:00Z
2022024S09090-CE02-L072,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,72,2022-02-02T17:01:48.141186Z,71.03003921833333,0.9699607816666667,2022-02-02T18:00:00Z,72,2022-02-05T18:00:00Z
2022024S09090-CE02-L096,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,96,2022-02-01T17:01:48.141186Z,95.03003921833334,0.9699607816666667,2022-02-01T18:00:00Z,96,2022-02-05T18:00:00Z
2022024S09090-CE02-L120,2022024S09090-CE02,2022024S09090,landfall,2022-02-05T17:01:48.141186Z,-20.967828484176778,48.461732767098006,120,2022-01-31T17:01:48.141186Z,119.03003921833334,0.9699607816666667,2022-01-31T18:00:00Z,120,2022-02-05T18:00:00Z
2022038S19164-CE01-L024,2022038S19164-CE01,2022038S19164,landfall,2022-02-10T08:35:52.804986Z,-22.54649132193556,167.46716621064786,24,2022-02-09T08:35:52.804986Z,26.598001385,-2.598001385,2022-02-09T06:00:00Z,30,2022-02-10T12:00:00Z
