case_id,storm_id,init_time,forecast_hours,output_interval_hours,name,basin
2022024S09090-CE01-L024,2022024S09090,2022-01-31T12:00:00Z,30,6,BATSIRAI,SI
2022024S09090-CE01-L048,2022024S09090,2022-01-30T12:00:00Z,54,6,BATSIRAI,SI
2022024S09090-CE01-L072,2022024S09090,2022-01-29T12:00:00Z,78,6,BATSIRAI,SI
2022024S09090-CE01-L096,2022024S09090,2022-01-28T12:00:00Z,102,6,BATSIRAI,SI
2022024S09090-CE01-L120,2022024S09090,2022-01-27T12:00:00Z,126,6,BATSIRAI,SI
2022024S09090-CE02-L024,2022024S09090,2022-02-04T18:00:00Z,24,6,BATSIRAI,SI
2022024S09090-CE02-L048,2022024S09090,2022-02-03T18:00:00Z,48,6,BATSIRAI,SI
2022024S09090-CE02-L072,2022024S09090,2022-02-02T18:00:00Z,72,6,BATSIRAI,SI
2022024S09090-CE02-L096,2022024S09090,2022-02-01T18:00:00Z,96,6,BATSIRAI,SI
2022024S09090-CE02-L120,2022024S09090,2022-01-31T18:00:00Z,120,6,BATSIRAI,SI
2022038S19164-CE01-L024,2022038S19164,2022-02-09T06:00:00Z,30,6,DOVI,SP
2022038S19164-CE01-L048,2022038S19164,2022-02-08T06:00:00Z,54,6,DOVI,SP
2022038S19164-CE01-L072,2022038S19164,2022-02-07T06:00:00Z,78,6,DOVI,SP
2022038S19164-CE01-L096,2022038S19164,2022-02-06T06:00:00Z,102,6,DOVI,SP
2022038S19164-CE01-L120,2022038S19164,2022-02-05T06:00:00Z,126,6,DOVI,SP
2022037S10103-CE02-L024,2022037S10103,2022-02-22T00:00:00Z,24,6,EMNATI,SI
2022037S10103-CE02-L048,2022037S10103,2022-02-21T00:00:00Z,48,6,EMNATI,SI
2022037S10103-CE02-L072,2022037S10103,2022-02-20T00:00:00Z,72,6,EMNATI,SI
2022037S10103-CE02-L096,2022037S10103,2022-02-19T00:00:00Z,96,6,EMNATI,SI
2022037S10103-CE02-L120,2022037S10103,2022-02-18T00:00:00Z,120,6,EMNATI,SI
2022065S16055-CE02-L024,2022065S16055,2022-03-10T00:00:00Z,30,6,GOMBE,SI
2022065S16055-CE02-L048,2022065S16055,2022-03-09T00:00:00Z,54,6,GOMBE,SI
2022065S16055-CE02-L072,2022065S16055,2022-03-08T00:00:00Z,78,6,GOMBE,SI
2022065S16055-CE02-L096,2022065S16055,2022-03-07T00:00:00Z,102,6,GOMBE,SI
